2.036,50
2.079,51
2.122,52
2.165,53
2.208,54
2.251,55
2.294,56
2.338,57
2.381,58
2.425,59
2.468,60
2.512,61
2.556,62
2.6,63
2.643,64
2.687,65
2.732,66
2.776,67
2.82,68
2.864,69
2.909,70
2.953,71
2.998,72
3.043,73
3.087,74
3.132,75
3.177,76
3.222,77
3.267,78
3.312,79
-6.258,-260
-6.256,-259
-6.255,-258
-6.253,-257
-6.251,-256
-6.248,-255
-6.245,-254
-6.242,-253
-6.239,-252
-6.236,-251
-6.232,-250
-6.228,-249
-6.223,-248
-6.219,-247
-6.214,-246
-6.209,-245
-6.204,-244
-6.198,-243
-6.193,-242
-6.187,-241
-6.18,-240
-6.174,-239
-6.167,-238
-6.16,-237
-6.153,-236
-6.146,-235
-6.138,-234
-6.13,-233
-6.122,-232
-6.114,-231
-6.105,-230
-6.096,-229
-6.087,-228
-6.078,-227
-6.068,-226
-6.059,-225
-6.049,-224
-6.038,-223
-6.028,-222
-6.017,-221
-6.007,-220
-5.996,-219
-5.985,-218
-5.973,-217
-5.962,-216
-5.95,-215
-5.938,-214
-5.926,-213
-5.914,-212
-5.901,-211
-5.888,-210
-5.876,-209
-5.863,-208
-5.85,-207
-5.836,-206
-5.823,-205
-5.809,-204
-5.795,-203
-5.782,-202
-5.767,-201
-5.753,-200
-5.739,-199
-5.724,-198
-5.71,-197
-5.695,-196
-5.68,-195
-5.665,-194
-5.65,-193
-5.634,-192
-5.619,-191
-5.603,-190
-5.587,-189
-5.571,-188
-5.555,-187
-5.539,-186
-5.523,-185
-5.506,-184
-5.489,-183
-5.473,-182
-5.456,-181
-5.439,-180
-5.421,-179
-5.404,-178
-5.387,-177
-5.369,-176
-5.351,-175
-5.334,-174
-5.316,-173
-5.297,-172
-5.279,-171
-5.261,-170
-5.242,-169
-5.224,-168
-5.205,-167
-5.186,-166
-5.167,-165
-5.148,-164
-5.128,-163
-5.109,-162
-5.089,-161
-5.07,-160
-5.05,-159
-5.03,-158
-5.01,-157
-4.989,-156
-4.969,-155
-4.949,-154
-4.928,-153
-4.907,-152
-4.886,-151
-4.865,-150
-4.844,-149
-4.823,-148
-4.802,-147
-4.78,-146
-4.759,-145
-4.737,-144
-4.715,-143
-4.693,-142
-4.671,-141
-4.648,-140
-4.626,-139
-4.604,-138
-4.581,-137
-4.558,-136
-4.535,-135
-4.512,-134
-4.489,-133
-4.466,-132
-4.443,-131
-4.419,-130
-4.395,-129
-4.372,-128
-4.348,-127
-4.324,-126
-4.3,-125
-4.275,-124
-4.251,-123
-4.226,-122
-4.202,-121
-4.177,-120
-4.152,-119
-4.127,-118
-4.102,-117
-4.077,-116
-4.052,-115
-4.026,-114
-4.0,-113
-3.975,-112
-3.949,-111
-3.923,-110
-3.897,-109
-3.871,-108
-3.844,-107
-3.818,-106
-3.791,-105
-3.765,-104
-3.738,-103
-3.711,-102
-3.684,-101
-3.657,-100
-3.629,-99
-3.602,-98
-3.574,-97
-3.547,-96
-3.519,-95
-3.491,-94
-3.463,-93
-3.435,-92
-3.407,-91
-3.379,-90
-3.35,-89
-3.322,-88
-3.293,-87
-3.264,-86
-3.235,-85
-3.206,-84
-3.177,-83
-3.148,-82
-3.118,-81
-3.089,-80
-3.059,-79
-3.03,-78
-3.0,-77
-2.97,-76
-2.94,-75
-2.91,-74
-2.879,-73
-2.849,-72
-2.818,-71
-2.788,-70
-2.757,-69
-2.726,-68
-2.695,-67
-2.664,-66
-2.633,-65
-2.602,-64
-2.571,-63
-2.539,-62
-2.507,-61
-2.476,-60
-2.444,-59
-2.412,-58
-2.38,-57
-2.348,-56
-2.316,-55
-2.283,-54
-2.251,-53
-2.218,-52
-2.186,-51
-2.153,-50
-2.12,-49
-2.087,-48
-2.054,-47
-2.021,-46
-1.987,-45
-1.954,-44
-1.92,-43
-1.887,-42
-1.853,-41
-1.819,-40
-1.785,-39
-1.751,-38
-1.717,-37
-1.683,-36
-1.648,-35
-1.614,-34
-1.579,-33
-1.545,-32
-1.51,-31
-1.475,-30
-1.44,-29
-1.405,-28
-1.37,-27
-1.335,-26
-1.299,-25
-1.264,-24
-1.228,-23
-1.192,-22
-1.157,-21
-1.121,-20
-1.085,-19
-1.049,-18
-1.013,-17
-0.976,-16
-0.94,-15
-0.904,-14
-0.867,-13
-0.83,-12
-0.794,-11
-0.757,-10
-0.72,-9
-0.683,-8
-0.646,-7
-0.608,-6
-0.571,-5
-0.534,-4
-0.496,-3
-0.459,-2
-0.421,-1
-0.383,0
-0.345,1
-0.307,2
-0.269,3
-0.231,4
-0.193,5
-0.154,6
-0.116,7
-0.077,8
-0.039,9
0.0,0
0.039,1
0.078,2
0.117,3
0.156,4
0.195,5
0.234,6
0.273,7
0.312,8
0.352,9
0.391,10
0.431,11
0.47,12
0.51,13
0.549,14
0.589,15
0.629,16
0.669,17
0.709,18
0.749,19
0.79,20
0.83,21
0.87,22
0.911,23
0.951,24
0.992,25
1.033,26
1.074,27
1.114,28
1.155,29
1.196,30
1.238,31
1.279,32
1.32,33
1.362,34
1.403,35
1.445,36
1.486,37
1.528,38
1.57,39
1.612,40
1.654,41
1.696,42
1.738,43
1.78,44
1.823,45
1.865,46
1.908,47
1.95,48
1.993,49
